Stimulus_Side,ITI,Previous_Response,Previous_RT,Response,RT,Trial_Time_Onset,Trial_Time_End,Trial_Order,Participant,Task
LEFT,1016.666669,"('Time_Max_Exceeded', 1016.8475999999771)",0,DOWN,721.487,59:56.4,59:57.4,1,S2,ProcessingSpeed
LEFT,733.3333348,"('Time_Max_Exceeded', 733.9447000000234)",0,DOWN,386.952,59:58.2,59:58.8,2,S2,ProcessingSpeed
LEFT,1333.333336,"('Time_Max_Exceeded', 1333.7695000000167)",0,DOWN,559.214,00:00.1,00:00.9,3,S2,ProcessingSpeed
RIGHT,566.6666678,"('Time_Max_Exceeded', 567.2176999999863)",0,DOWN,455.4442,00:01.5,00:02.2,4,S2,ProcessingSpeed
RIGHT,883.3333351,"('Time_Max_Exceeded', 883.8005000000067)",0,DOWN,326.977,00:03.1,00:03.6,5,S2,ProcessingSpeed
RIGHT,1050.000002,"('Time_Max_Exceeded', 1050.4451999999844)",0,DOWN,387.6384,00:04.7,00:05.3,6,S2,ProcessingSpeed
LEFT,850.0000017,"('Time_Max_Exceeded', 0.35109999998894637)",0,DOWN,334.6124,00:06.2,00:06.7,7,S2,ProcessingSpeed
RIGHT,666.666668,"('Time_Max_Exceeded', 667.0110000000022)",0,DOWN,366.6103,00:07.4,00:08.0,8,S2,ProcessingSpeed
LEFT,566.6666678,"('Time_Max_Exceeded', 567.4603999999874)",0,DOWN,321.8897,00:08.6,00:09.1,9,S2,ProcessingSpeed
RIGHT,1150.000002,"('Time_Max_Exceeded', 1150.4901000000132)",0,DOWN,343.6939,00:10.3,00:10.8,10,S2,ProcessingSpeed
RIGHT,1433.333336,"('Time_Max_Exceeded', 1433.7921999999992)",0,DOWN,320.8532,00:12.3,00:12.8,11,S2,ProcessingSpeed
LEFT,816.6666683,"('Time_Max_Exceeded', 817.4111999999809)",0,DOWN,363.2345,00:13.7,00:14.3,12,S2,ProcessingSpeed
RIGHT,983.3333353,"('Time_Max_Exceeded', 983.8563000000136)",0,DOWN,311.1775,00:15.3,00:15.8,13,S2,ProcessingSpeed
LEFT,666.666668,"('Time_Max_Exceeded', 667.1379000000002)",0,DOWN,349.9279,00:16.5,00:17.1,14,S2,ProcessingSpeed
RIGHT,1333.333336,"('Time_Max_Exceeded', 1333.810800000009)",0,DOWN,346.345,00:18.4,00:19.0,15,S2,ProcessingSpeed
LEFT,783.3333349,"('Time_Max_Exceeded', 783.9364999999816)",0,DOWN,361.7775,00:19.8,00:20.4,16,S2,ProcessingSpeed
LEFT,1500.000003,"('Time_Max_Exceeded', 1500.5040000000065)",0,DOWN,360.8409,00:21.9,00:22.5,17,S2,ProcessingSpeed
LEFT,533.3333344,"('Time_Max_Exceeded', 534.0385999999739)",0,DOWN,383.4378,00:23.0,00:23.6,18,S2,ProcessingSpeed
LEFT,983.3333353,"('Time_Max_Exceeded', 983.889099999999)",0,DOWN,389.7232,00:24.7,00:25.3,19,S2,ProcessingSpeed
RIGHT,700.0000014,"('Time_Max_Exceeded', 700.8782999999994)",-0.919,DOWN,364.5711,00:26.0,00:26.6,20,S2,ProcessingSpeed
RIGHT,783.3333349,"('Time_Max_Exceeded', 783.7712999999837)",0,DOWN,342.7711,00:27.4,00:27.9,21,S2,ProcessingSpeed
RIGHT,1183.333336,"('Time_Max_Exceeded', 1183.942399999978)",0,DOWN,317.7808,00:29.2,00:29.7,22,S2,ProcessingSpeed
RIGHT,1083.333336,"('Time_Max_Exceeded', 1083.8692000000094)",0,DOWN,356.0282,00:30.8,00:31.4,23,S2,ProcessingSpeed
LEFT,600.0000012,"('Time_Max_Exceeded', 600.520500000016)",0,DOWN,371.0672,00:32.0,00:32.6,24,S2,ProcessingSpeed
LEFT,1300.000003,"('Time_Max_Exceeded', 1300.476400000008)",0,DOWN,362.2007,00:33.9,00:34.5,25,S2,ProcessingSpeed
LEFT,883.3333351,"('Time_Max_Exceeded', 883.8049999999953)",0,DOWN,392.6426,00:35.4,00:36.0,26,S2,ProcessingSpeed
LEFT,1216.666669,"('Time_Max_Exceeded', 1217.1917000000008)",0,DOWN,333.8013,00:37.3,00:37.8,27,S2,ProcessingSpeed
LEFT,916.6666685,"('Time_Max_Exceeded', 918.7066000000073)",-0.21,DOWN,398.6089,00:38.7,00:39.4,28,S2,ProcessingSpeed
RIGHT,1016.666669,"('Time_Max_Exceeded', 1017.3474999999996)",0,DOWN,373.2473,00:40.4,00:41.0,29,S2,ProcessingSpeed
LEFT,1183.333336,"('Time_Max_Exceeded', 1183.8090999999906)",0,DOWN,315.6433,00:42.2,00:42.7,30,S2,ProcessingSpeed
RIGHT,1500.000003,"('Time_Max_Exceeded', 1502.0879000000207)",0,DOWN,358.9222,00:44.3,00:44.9,31,S2,ProcessingSpeed
RIGHT,850.0000017,"('Time_Max_Exceeded', 850.483099999991)",0,DOWN,414.7523,00:45.7,00:46.4,32,S2,ProcessingSpeed
RIGHT,600.0000012,"('Time_Max_Exceeded', 600.4958999999985)",0,DOWN,364.2278,00:47.0,00:47.6,33,S2,ProcessingSpeed
LEFT,633.3333346,"('Time_Max_Exceeded', 633.8423000000262)",0,DOWN,438.99,00:48.2,00:48.9,34,S2,ProcessingSpeed
RIGHT,950.0000019,"('Time_Max_Exceeded', 950.4966000000081)",0,DOWN,331.0717,00:49.9,00:50.4,35,S2,ProcessingSpeed
RIGHT,1300.000003,"('Time_Max_Exceeded', 1300.7345999999984)",0,DOWN,399.027,00:51.7,00:52.4,36,S2,ProcessingSpeed
RIGHT,916.6666685,"('Time_Max_Exceeded', 917.4364000000139)",0,DOWN,485.7132,00:53.3,00:54.0,37,S2,ProcessingSpeed
LEFT,1366.666669,"('Time_Max_Exceeded', 1367.6776000000075)",0,DOWN,402.0519,00:55.4,00:56.0,38,S2,ProcessingSpeed
RIGHT,816.6666683,"('Time_Max_Exceeded', 817.1592999999859)",0,DOWN,324.3163,00:56.9,00:57.4,39,S2,ProcessingSpeed
LEFT,1266.666669,"('Time_Max_Exceeded', 1267.1861999999976)",0,DOWN,323.4691,00:58.7,00:59.2,40,S2,ProcessingSpeed
RIGHT,1116.666669,"('Time_Max_Exceeded', 1117.2951000000069)",0,DOWN,315.1916,01:00.4,01:00.9,41,S2,ProcessingSpeed
RIGHT,1400.000003,"('Time_Max_Exceeded', 1400.511200000011)",0,DOWN,353.4119,01:02.3,01:02.9,42,S2,ProcessingSpeed
RIGHT,1466.66667,"('Time_Max_Exceeded', 1467.6112000000217)",0,DOWN,388.8295,01:04.4,01:05.0,43,S2,ProcessingSpeed
RIGHT,500.000001,"('Time_Max_Exceeded', 500.5032999999912)",0,DOWN,492.0692,01:05.5,01:06.2,44,S2,ProcessingSpeed
LEFT,1050.000002,"('Time_Max_Exceeded', 1050.4798999999991)",0,DOWN,311.9729,01:07.3,01:07.8,45,S2,ProcessingSpeed
LEFT,700.0000014,"('Time_Max_Exceeded', 700.2760999999964)",0,DOWN,337.7888,01:08.5,01:09.1,46,S2,ProcessingSpeed
LEFT,1150.000002,"('Time_Max_Exceeded', 1150.5050000000097)",0,DOWN,313.2544,01:10.3,01:10.8,47,S2,ProcessingSpeed
RIGHT,633.3333346,"('Time_Max_Exceeded', 633.0870999999831)",0,DOWN,336.3408,01:11.5,01:12.0,48,S2,ProcessingSpeed
RIGHT,1266.666669,"('Time_Max_Exceeded', 1267.133599999994)",0,DOWN,314.4924,01:13.3,01:13.9,49,S2,ProcessingSpeed
LEFT,1433.333336,"('Time_Max_Exceeded', 1433.797300000009)",0,DOWN,336.2108,01:15.3,01:15.9,50,S2,ProcessingSpeed
LEFT,1466.66667,"('Time_Max_Exceeded', 1467.1438999999964)",0,DOWN,402.4946,01:17.3,01:18.0,51,S2,ProcessingSpeed
RIGHT,533.3333344,"('Time_Max_Exceeded', 533.7830999999937)",0,DOWN,518.6665,01:18.5,01:19.3,52,S2,ProcessingSpeed
LEFT,1083.333336,"('Time_Max_Exceeded', 1083.802100000014)",0,DOWN,333.2906,01:20.4,01:20.9,53,S2,ProcessingSpeed
RIGHT,1366.666669,"('Time_Max_Exceeded', 1367.142599999994)",0,DOWN,336.4021,01:22.3,01:22.9,54,S2,ProcessingSpeed
RIGHT,1216.666669,"('Time_Max_Exceeded', 1217.1565999999814)",0,DOWN,413.3848,01:24.1,01:24.7,55,S2,ProcessingSpeed
LEFT,1400.000003,"('Time_Max_Exceeded', 1400.660600000009)",0,DOWN,363.0362,01:26.2,01:26.7,56,S2,ProcessingSpeed
RIGHT,733.3333348,"('Time_Max_Exceeded', 737.06150000001)",0,DOWN,400.0583,01:27.5,01:28.1,57,S2,ProcessingSpeed
LEFT,950.0000019,"('Time_Max_Exceeded', 950.4948999999954)",0,DOWN,352.6901,01:29.1,01:29.7,58,S2,ProcessingSpeed
LEFT,1116.666669,"('Time_Max_Exceeded', 1117.161699999997)",0,DOWN,336.9659,01:30.8,01:31.4,59,S2,ProcessingSpeed
LEFT,500.000001,"('Time_Max_Exceeded', 501.4581000000078)",0,DOWN,455.1581,01:31.9,01:32.6,60,S2,ProcessingSpeed
